customer_id,signup_date,churned,churn_pattern,churn_date,tenure_days
CUST0154,2023-10-01,0,,,273
CUST0155,2023-10-16,0,,,258
CUST0156,2023-08-08,0,,,327
CUST0157,2023-01-26,1,goal_achievement,2023-04-03,67
CUST0158,2023-08-21,1,gradual_decline,2024-01-07,139
CUST0159,2024-01-21,0,,,161
CUST0160,2024-03-03,0,,,119
CUST0161,2023-10-04,0,,,270
CUST0162,2023-11-29,0,,,214
CUST0163,2024-05-01,0,,,60
CUST0164,2023-03-20,1,gradual_decline,2024-02-11,328
CUST0165,2023-02-28,1,gradual_decline,2023-06-12,104
CUST0166,2023-12-25,0,,,188
CUST0167,2023-11-07,0,,,236
CUST0168,2023-06-09,0,,,387
CUST0169,2023-10-22,0,,,252
CUST0170,2024-04-27,0,,,64
CUST0171,2023-12-20,0,,,193
CUST0172,2023-12-23,0,,,190
CUST0173,2024-02-05,0,,,146
CUST0174,2023-07-09,1,support_driven,2024-04-07,273
CUST0175,2024-03-10,1,gradual_decline,2024-06-30,112
CUST0176,2023-08-10,0,,,325
CUST0177,2023-03-20,1,random,2023-10-29,223
CUST0178,2024-02-18,0,,,133
CUST0179,2023-08-12,0,,,323
CUST0180,2024-03-12,0,,,110
CUST0181,2024-03-27,1,random,2024-06-22,87
CUST0182,2023-11-09,0,,,234
CUST0183,2023-09-11,0,,,293
CUST0184,2023-04-19,0,,,438
CUST0185,2023-05-24,0,,,403
CUST0186,2023-01-06,1,gradual_decline,2023-10-21,288
CUST0187,2023-05-04,0,,,423
CUST0188,2024-01-24,1,gradual_decline,2024-06-30,158
CUST0189,2023-12-31,0,,,182
CUST0190,2023-05-31,0,,,396
CUST0191,2023-12-06,0,,,207
CUST0192,2023-09-29,0,,,275
CUST0193,2023-12-26,1,goal_achievement,2024-02-02,38
CUST0194,2023-04-29,0,,,428
CUST0195,2023-03-03,1,goal_achievement,2023-04-08,36
CUST0196,2023-04-21,0,,,436
CUST0197,2023-10-29,0,,,245
CUST0198,2024-03-02,0,,,120
CUST0199,2023-04-02,0,,,455
CUST0200,2023-01-24,0,,,523
CUST0201,2024-04-28,1,support_driven,2024-06-30,63
CUST0202,2024-03-22,0,,,100
CUST0203,2023-09-03,0,,,301
CUST0204,2023-05-10,0,,,417
CUST0205,2024-02-25,0,,,126
CUST0206,2023-10-23,0,,,251
CUST0207,2023-03-18,0,,,470
CUST0208,2023-05-08,0,,,419
CUST0209,2023-11-02,0,,,241
CUST0210,2023-07-14,0,,,352
CUST0211,2024-03-16,0,,,106
CUST0212,2023-10-19,0,,,255
CUST0213,2023-11-17,0,,,226
CUST0214,2023-05-03,1,goal_achievement,2023-07-05,63
CUST0215,2023-01-02,1,goal_achievement,2023-01-25,23
CUST0216,2023-01-17,0,,,530
CUST0217,2024-03-16,1,goal_achievement,2024-05-05,50
CUST0218,2024-02-08,1,gradual_decline,2024-06-30,143
CUST0219,2023-02-28,0,,,488
CUST0220,2024-02-28,0,,,123
CUST0221,2024-02-10,1,goal_achievement,2024-04-13,63
CUST0222,2023-03-05,0,,,483
CUST0223,2023-07-26,1,price_shock,2023-10-12,78
CUST0224,2023-02-11,1,gradual_decline,2023-07-17,156
CUST0225,2023-06-15,0,,,381
CUST0226,2023-04-28,0,,,429
CUST0227,2024-02-25,0,,,126
CUST0228,2023-08-29,0,,,306
CUST0229,2023-04-03,0,,,454
CUST0230,2024-02-21,0,,,130
CUST0231,2023-06-28,0,,,368
CUST0232,2023-02-23,0,,,493
CUST0233,2023-12-22,1,gradual_decline,2024-04-26,126
CUST0234,2023-01-19,1,gradual_decline,2023-12-03,318
CUST0235,2023-06-15,0,,,381
CUST0236,2024-02-27,0,,,124
CUST0237,2023-01-28,0,,,519
CUST0238,2024-01-23,0,,,159
CUST0239,2023-04-15,1,gradual_decline,2023-09-09,147
CUST0240,2023-08-13,1,goal_achievement,2023-09-20,38
CUST0241,2023-01-15,0,,,532
CUST0242,2023-03-23,0,,,465
CUST0243,2023-07-28,1,random,2024-04-28,275
CUST0244,2024-04-29,0,,,62
CUST0245,2024-04-22,0,,,69
CUST0246,2024-03-03,0,,,119
CUST0247,2023-08-22,0,,,313
CUST0248,2024-04-16,1,gradual_decline,2024-06-30,75
CUST0249,2023-05-22,0,,,405
CUST0250,2024-04-23,1,gradual_decline,2024-06-30,68
CUST0251,2023-05-25,1,gradual_decline,2024-03-14,294
CUST0252,2023-08-17,0,,,318
CUST0253,2023-10-10,0,,,264
CUST0254,2024-04-22,0,,,69
CUST0255,2023-05-03,1,goal_achievement,2023-05-24,21
CUST0256,2023-01-23,0,,,524
CUST0257,2024-04-12,1,goal_achievement,2024-05-11,29
CUST0258,2024-02-10,0,,,141
CUST0259,2023-01-19,0,,,528
CUST0260,2024-03-23,0,,,99
CUST0261,2024-04-11,1,gradual_decline,2024-06-30,80
CUST0262,2024-03-21,0,,,101
CUST0263,2023-08-29,0,,,306
CUST0264,2023-11-16,0,,,227
CUST0265,2024-03-12,0,,,110
CUST0266,2023-11-17,1,gradual_decline,2024-03-31,135
CUST0267,2023-01-19,0,,,528
CUST0268,2023-12-17,1,goal_achievement,2024-02-11,56
CUST0269,2023-02-16,0,,,500
CUST0270,2023-12-27,0,,,186
CUST0271,2023-12-22,0,,,191
CUST0272,2023-06-16,0,,,380
CUST0273,2023-07-11,0,,,355
CUST0274,2023-07-30,0,,,336
CUST0275,2023-03-31,0,,,457
CUST0276,2023-12-16,0,,,197
CUST0277,2023-08-25,0,,,310
CUST0278,2023-12-08,0,,,205
CUST0279,2023-12-13,1,gradual_decline,2024-03-15,93
CUST0280,2024-04-28,1,gradual_decline,2024-06-30,63
CUST0281,2023-08-06,1,goal_achievement,2023-09-06,31
CUST0282,2023-04-12,1,gradual_decline,2023-11-09,211
CUST0283,2023-05-02,0,,,425
CUST0284,2023-06-01,1,support_driven,2023-12-07,189
CUST0285,2024-02-29,1,gradual_decline,2024-06-30,122
CUST0286,2023-10-17,0,,,257
CUST0287,2024-01-17,0,,,165
CUST0288,2023-11-07,0,,,236
CUST0289,2023-04-08,0,,,449
CUST0290,2023-02-19,0,,,497
CUST0291,2024-02-08,1,gradual_decline,2024-06-30,143
CUST0292,2023-03-09,0,,,479
CUST0293,2024-01-18,0,,,164
CUST0294,2024-02-07,0,,,144
CUST0295,2023-09-14,0,,,290
CUST0296,2024-04-12,0,,,79
CUST0297,2024-01-18,0,,,164
CUST0298,2023-02-08,0,,,508
CUST0299,2024-01-06,0,,,176
CUST0300,2023-07-07,0,,,359
CUST0301,2023-05-16,0,,,411
CUST0302,2023-12-11,0,,,202
CUST0303,2023-07-15,0,,,351
CUST0304,2023-12-12,1,random,2024-06-16,187
CUST0305,2024-03-28,0,,,94
CUST0306,2023-04-24,0,,,433
CUST0307,2023-06-04,0,,,392
CUST0308,2023-01-24,0,,,523
CUST0309,2023-03-01,0,,,487
CUST0310,2023-08-21,1,random,2024-05-14,267
CUST0311,2024-01-16,1,gradual_decline,2024-06-30,166
CUST0312,2023-02-20,0,,,496
CUST0313,2023-01-17,0,,,530
CUST0314,2023-08-16,0,,,319
CUST0315,2023-12-18,0,,,195
CUST0316,2023-07-23,0,,,343
CUST0317,2023-02-16,1,gradual_decline,2023-06-26,130
CUST0318,2024-02-07,0,,,144
CUST0319,2023-04-16,0,,,441
CUST0320,2023-04-21,0,,,436
CUST0321,2024-02-01,0,,,150
CUST0322,2024-03-15,1,goal_achievement,2024-05-09,55
CUST0323,2023-05-09,1,goal_achievement,2023-06-08,30
CUST0324,2024-03-19,0,,,103
CUST0325,2024-02-09,0,,,142
CUST0326,2023-03-31,0,,,457
CUST0327,2023-08-04,1,gradual_decline,2024-05-27,297
CUST0328,2023-08-18,0,,,317
CUST0329,2023-09-15,0,,,289
CUST0330,2024-02-06,1,gradual_decline,2024-06-09,124
CUST0331,2023-11-26,0,,,217
CUST0332,2024-03-09,1,support_driven,2024-06-30,113
CUST0333,2023-12-31,0,,,182
CUST0334,2023-06-14,1,gradual_decline,2023-11-08,147
CUST0335,2023-05-21,0,,,406
CUST0336,2023-11-02,0,,,241
CUST0337,2023-11-06,0,,,237
CUST0338,2023-11-30,0,,,213
CUST0339,2023-08-20,0,,,315
CUST0340,2024-02-28,0,,,123
CUST0341,2023-02-18,0,,,498
CUST0342,2023-05-11,0,,,416
CUST0343,2024-04-17,1,support_driven,2024-06-30,74
CUST0344,2023-02-17,0,,,499
CUST0345,2023-10-12,0,,,262
CUST0346,2023-03-04,0,,,484
CUST0347,2023-01-27,1,goal_achievement,2023-02-24,28
CUST0348,2023-02-23,1,goal_achievement,2023-04-20,56
CUST0349,2023-12-03,1,gradual_decline,2024-06-30,210
CUST0350,2024-03-08,1,goal_achievement,2024-04-22,45
CUST0351,2023-10-21,0,,,253
CUST0352,2024-01-28,0,,,154
CUST0353,2024-04-20,0,,,71
CUST0354,2023-04-03,0,,,454
CUST0355,2023-06-29,1,support_driven,2024-03-20,265
CUST0356,2023-12-03,1,random,2024-06-30,210
CUST0357,2023-11-21,1,random,2024-06-30,222
CUST0358,2023-09-29,1,random,2023-12-06,68
CUST0359,2023-06-24,0,,,372
CUST0360,2023-06-16,0,,,380
CUST0361,2023-03-21,1,goal_achievement,2023-04-11,21
CUST0362,2023-02-11,0,,,505
CUST0363,2023-11-07,0,,,236
CUST0364,2024-01-22,0,,,160
CUST0365,2023-02-26,0,,,490
CUST0366,2023-12-08,0,,,205
CUST0367,2023-11-03,0,,,240
CUST0368,2024-04-29,0,,,62
CUST0369,2023-05-29,0,,,398
CUST0370,2024-01-18,1,gradual_decline,2024-06-30,164
CUST0371,2023-09-30,0,,,274
CUST0372,2023-07-23,0,,,343
CUST0373,2023-01-10,0,,,537
CUST0374,2023-10-22,0,,,252
CUST0375,2023-11-24,1,gradual_decline,2024-06-30,219
CUST0376,2023-01-11,0,,,536
CUST0377,2023-08-24,0,,,311
CUST0378,2023-08-12,0,,,323
CUST0379,2023-10-29,1,random,2024-06-30,245
CUST0380,2024-03-21,0,,,101
CUST0381,2023-06-20,0,,,376
CUST0382,2023-11-21,0,,,222
CUST0383,2023-06-29,1,support_driven,2024-01-24,209
CUST0384,2023-02-22,0,,,494
CUST0385,2023-11-05,1,random,2024-01-29,85
CUST0386,2024-01-31,0,,,151
CUST0387,2024-01-25,0,,,157
CUST0388,2023-06-11,0,,,385
CUST0389,2023-08-15,0,,,320
CUST0390,2023-01-29,0,,,518
CUST0391,2023-08-25,0,,,310
CUST0392,2024-03-01,0,,,121
CUST0393,2023-11-01,1,gradual_decline,2024-06-17,229
CUST0394,2023-10-11,0,,,263
CUST0395,2024-04-10,0,,,81
CUST0396,2023-11-06,0,,,237
CUST0397,2023-08-19,1,goal_achievement,2023-09-22,34
CUST0398,2023-02-13,0,,,503
CUST0399,2023-05-07,0,,,420
CUST0400,2023-09-25,0,,,279
CUST0401,2024-04-14,0,,,77
CUST0402,2023-12-14,0,,,199
CUST0403,2023-06-18,0,,,378
CUST0404,2023-05-10,1,gradual_decline,2024-05-25,381
CUST0405,2023-02-11,0,,,505
CUST0406,2023-06-08,0,,,388
CUST0407,2023-11-01,0,,,242
CUST0408,2023-10-14,0,,,260
CUST0409,2023-12-10,0,,,203
CUST0410,2023-12-10,0,,,203
CUST0411,2023-07-05,0,,,361
CUST0412,2024-04-30,0,,,61
CUST0413,2023-03-12,1,goal_achievement,2023-04-13,32
CUST0414,2023-09-17,1,random,2024-06-30,287
CUST0415,2023-06-22,0,,,374
CUST0416,2023-07-12,1,goal_achievement,2023-08-15,34
CUST0417,2024-01-30,0,,,152
CUST0418,2023-08-13,0,,,322
CUST0419,2024-01-04,1,goal_achievement,2024-02-23,50
CUST0420,2023-05-26,0,,,401
CUST0421,2023-10-01,0,,,273
CUST0422,2023-07-08,0,,,358
CUST0423,2024-01-29,0,,,153
CUST0424,2023-09-28,0,,,276
CUST0425,2024-02-15,0,,,136
CUST0426,2023-11-25,0,,,218
CUST0427,2024-04-23,0,,,68
CUST0428,2023-02-12,1,gradual_decline,2023-12-18,309
CUST0429,2024-04-08,0,,,83
CUST0430,2024-04-29,0,,,62
CUST0431,2024-04-21,0,,,70
CUST0432,2023-09-15,1,gradual_decline,2024-02-28,166
CUST0433,2023-07-11,1,gradual_decline,2024-06-26,351
CUST0434,2024-03-05,0,,,117
CUST0435,2023-03-12,0,,,476
CUST0436,2024-03-01,0,,,121
CUST0437,2023-11-12,0,,,231
CUST0438,2023-05-12,0,,,415
CUST0439,2024-04-26,0,,,65
CUST0440,2024-02-02,0,,,149
CUST0441,2023-01-25,0,,,522
CUST0442,2023-02-26,0,,,490
CUST0443,2023-10-02,0,,,272
CUST0444,2023-03-15,0,,,473
CUST0445,2023-06-30,1,random,2024-03-07,251
CUST0446,2023-12-07,0,,,206
CUST0447,2023-09-27,1,goal_achievement,2023-11-07,41
CUST0448,2024-03-23,0,,,99
CUST0449,2023-05-10,0,,,417
CUST0450,2023-06-26,0,,,370
CUST0451,2024-01-12,0,,,170
CUST0452,2023-06-30,1,gradual_decline,2023-11-29,152
CUST0453,2023-08-26,1,gradual_decline,2024-06-30,309
CUST0454,2023-04-04,1,gradual_decline,2024-01-26,297
CUST0455,2024-02-02,0,,,149
CUST0456,2023-04-14,1,gradual_decline,2023-08-04,112
CUST0457,2023-06-11,0,,,385
CUST0458,2023-08-31,0,,,304
CUST0459,2023-07-02,0,,,364
CUST0460,2023-06-19,1,gradual_decline,2023-12-11,175
CUST0461,2024-03-31,1,gradual_decline,2024-06-30,91
CUST0462,2023-06-23,1,gradual_decline,2024-04-22,304
CUST0463,2023-09-12,1,gradual_decline,2024-02-23,164
CUST0464,2024-01-08,0,,,174
CUST0465,2024-02-26,1,gradual_decline,2024-06-30,125
CUST0466,2023-02-22,0,,,494
CUST0467,2023-08-17,0,,,318
CUST0468,2023-12-20,1,support_driven,2024-06-30,193
CUST0469,2024-01-08,0,,,174
CUST0470,2023-08-11,1,support_driven,2023-12-25,136
CUST0471,2023-12-10,0,,,203
CUST0472,2024-02-15,1,gradual_decline,2024-06-30,136
CUST0473,2023-03-15,0,,,473
CUST0474,2023-03-06,0,,,482
CUST0475,2023-07-16,1,gradual_decline,2024-05-29,318
CUST0476,2023-03-20,0,,,468
CUST0477,2023-08-16,0,,,319
CUST0478,2023-07-07,0,,,359
CUST0479,2023-02-28,0,,,488
CUST0480,2023-09-23,0,,,281
CUST0481,2024-02-01,0,,,150
CUST0482,2023-11-10,1,gradual_decline,2024-03-31,142
CUST0483,2023-03-04,0,,,484
CUST0484,2023-03-30,0,,,458
CUST0485,2024-02-19,0,,,132
CUST0486,2023-06-27,0,,,369
CUST0487,2024-03-11,1,goal_achievement,2024-05-13,63
CUST0488,2023-09-18,0,,,286
CUST0489,2023-05-02,1,gradual_decline,2024-03-23,326
CUST0490,2023-10-11,0,,,263
CUST0491,2023-03-08,1,gradual_decline,2024-02-04,333
CUST0492,2023-06-08,1,gradual_decline,2024-06-30,388
CUST0493,2023-07-30,1,random,2024-05-19,294
CUST0494,2023-06-12,0,,,384
CUST0495,2023-12-15,0,,,198
CUST0496,2023-11-24,0,,,219
CUST0497,2023-09-15,0,,,289
CUST0498,2023-09-23,1,goal_achievement,2023-11-06,44
CUST0499,2023-06-15,0,,,381
CUST0500,2024-04-30,0,,,61
CUST0501,2023-05-09,0,,,418
CUST0502,2023-11-17,1,gradual_decline,2024-06-30,226
CUST0503,2023-11-25,0,,,218
CUST0504,2023-12-04,0,,,209
CUST0505,2023-01-22,0,,,525
CUST0506,2023-01-24,0,,,523
CUST0507,2023-04-18,0,,,439
CUST0508,2023-11-24,0,,,219
CUST0509,2023-06-04,1,gradual_decline,2023-12-09,188
CUST0510,2023-08-21,1,gradual_decline,2024-02-24,187
CUST0511,2023-08-14,1,gradual_decline,2024-06-30,321
CUST0512,2023-06-24,1,gradual_decline,2023-09-29,97
CUST0513,2023-06-13,0,,,383
CUST0514,2023-03-08,1,goal_achievement,2023-04-21,44
CUST0515,2023-05-04,0,,,423
CUST0516,2023-05-07,0,,,420
CUST0517,2024-04-29,1,gradual_decline,2024-06-30,62
CUST0518,2024-03-19,0,,,103
CUST0519,2024-01-05,0,,,177
CUST0520,2023-09-21,0,,,283
CUST0521,2023-01-12,1,gradual_decline,2023-11-12,304
CUST0522,2023-08-23,0,,,312
CUST0523,2023-06-30,0,,,366
CUST0524,2023-11-02,0,,,241
CUST0525,2023-10-02,0,,,272
CUST0526,2023-03-10,1,support_driven,2024-01-30,326
CUST0527,2023-07-07,1,gradual_decline,2024-01-18,195
CUST0528,2023-10-15,0,,,259
CUST0529,2023-07-17,0,,,349
CUST0530,2023-12-15,1,gradual_decline,2024-06-27,195
CUST0531,2023-07-21,0,,,345
CUST0532,2024-04-25,1,goal_achievement,2024-06-03,39
CUST0533,2023-11-05,1,goal_achievement,2023-11-29,24
CUST0534,2023-01-20,0,,,527
CUST0535,2023-09-23,1,gradual_decline,2024-05-19,239
CUST0536,2024-04-21,1,gradual_decline,2024-06-30,70
CUST0537,2023-11-12,0,,,231
CUST0538,2023-06-22,0,,,374
CUST0539,2023-10-16,0,,,258
CUST0540,2023-06-19,1,goal_achievement,2023-07-28,39
CUST0541,2023-06-07,0,,,389
CUST0542,2023-08-31,0,,,304
CUST0543,2023-01-27,0,,,520
CUST0544,2023-11-19,0,,,224
CUST0545,2024-02-25,0,,,126
CUST0546,2024-04-30,0,,,61
CUST0547,2023-08-14,0,,,321
CUST0548,2023-12-20,0,,,193
CUST0549,2024-01-08,1,support_driven,2024-06-01,145
CUST0550,2023-04-17,0,,,440
CUST0551,2023-07-12,1,gradual_decline,2023-12-04,145
CUST0552,2024-04-12,0,,,79
CUST0553,2024-01-31,0,,,151
CUST0554,2023-09-05,0,,,299
CUST0555,2023-10-13,1,support_driven,2024-06-03,234
CUST0556,2023-12-27,1,gradual_decline,2024-06-23,179
CUST0557,2023-09-03,1,support_driven,2023-12-04,92
CUST0558,2023-03-04,0,,,484
CUST0559,2024-02-24,0,,,127
CUST0560,2023-01-22,0,,,525
CUST0561,2024-04-18,0,,,73
CUST0562,2023-09-03,0,,,301
CUST0563,2023-12-23,0,,,190
CUST0564,2024-01-15,0,,,167
CUST0565,2023-12-09,0,,,204
CUST0566,2023-04-30,0,,,427
CUST0567,2024-01-03,1,support_driven,2024-06-04,153
CUST0568,2023-10-09,0,,,265
CUST0569,2023-12-01,1,support_driven,2024-06-30,212
CUST0570,2023-11-30,0,,,213
CUST0571,2023-05-27,0,,,400
CUST0572,2023-10-21,0,,,253
CUST0573,2023-08-02,0,,,333
CUST0574,2024-03-04,1,random,2024-06-30,118
CUST0575,2024-04-24,0,,,67
CUST0576,2023-01-05,0,,,542
CUST0577,2023-05-26,1,support_driven,2023-12-23,211
CUST0578,2024-03-11,0,,,111
CUST0579,2024-02-19,0,,,132
CUST0580,2023-08-23,0,,,312
CUST0581,2024-01-13,0,,,169
CUST0582,2023-12-12,1,gradual_decline,2024-06-30,201
CUST0583,2024-03-14,1,support_driven,2024-06-30,108
CUST0584,2023-09-21,1,goal_achievement,2023-11-13,53
CUST0585,2023-02-18,0,,,498
CUST0586,2023-06-15,0,,,381
CUST0587,2023-07-16,0,,,350
CUST0588,2023-06-04,0,,,392
CUST0589,2023-12-01,1,support_driven,2024-03-09,99
CUST0590,2023-12-08,1,gradual_decline,2024-06-30,205
CUST0591,2023-07-27,0,,,339
CUST0592,2023-03-02,1,gradual_decline,2023-06-02,92
CUST0593,2023-11-11,0,,,232
CUST0594,2023-03-20,0,,,468
CUST0595,2023-12-26,0,,,187
CUST0596,2024-02-15,0,,,136
CUST0597,2023-12-15,0,,,198
CUST0598,2023-08-17,1,gradual_decline,2024-06-30,318
CUST0599,2024-04-14,1,random,2024-06-30,77
CUST0600,2024-04-07,0,,,84
CUST0601,2023-06-17,0,,,379
CUST0602,2023-12-15,0,,,198
CUST0603,2024-04-05,0,,,86
CUST0604,2023-03-09,1,goal_achievement,2023-04-06,28
CUST0605,2023-01-30,0,,,517
CUST0606,2023-01-12,0,,,535
CUST0607,2023-04-22,1,support_driven,2023-11-20,212
CUST0608,2023-06-26,0,,,370
CUST0609,2024-04-23,0,,,68
CUST0610,2023-04-03,0,,,454
CUST0611,2024-04-01,0,,,90
CUST0612,2023-02-11,0,,,505
CUST0613,2024-03-16,1,goal_achievement,2024-05-11,56
CUST0614,2023-07-21,0,,,345
CUST0615,2024-01-23,0,,,159
CUST0616,2023-12-11,0,,,202
CUST0617,2023-07-14,0,,,352
CUST0618,2023-06-27,0,,,369
CUST0619,2024-01-27,0,,,155
CUST0620,2024-01-28,1,random,2024-04-27,90
CUST0621,2023-04-16,0,,,441
