ticket_id,customer_id,ticket_date,category,severity
TK00234,CUST0177,2023-09-09,Bug Report,Medium
TK00235,CUST0178,2024-05-11,Complaint,Low
TK00236,CUST0179,2024-01-03,Billing Question,Low
TK00237,CUST0179,2024-06-10,Feature Request,Low
TK00238,CUST0179,2024-02-09,Bug Report,Medium
TK00239,CUST0179,2024-03-30,Bug Report,Low
TK00240,CUST0180,2024-06-26,Bug Report,Low
TK00241,CUST0180,2024-04-24,Bug Report,High
TK00242,CUST0181,2024-04-25,Bug Report,Medium
TK00243,CUST0181,2024-05-11,Feature Request,Medium
TK00244,CUST0183,2023-09-21,Feature Request,Low
TK00245,CUST0183,2023-10-31,Complaint,Low
TK00246,CUST0184,2023-06-28,Billing Question,Low
TK00247,CUST0184,2023-04-25,Feature Request,Medium
TK00248,CUST0185,2023-08-07,Billing Question,Low
TK00249,CUST0186,2023-04-26,Complaint,High
TK00250,CUST0187,2024-02-09,Billing Question,Medium
TK00251,CUST0188,2024-02-17,Billing Question,Low
TK00252,CUST0189,2024-05-19,Complaint,Low
TK00253,CUST0189,2024-05-21,Feature Request,Medium
TK00254,CUST0189,2024-04-17,Bug Report,High
TK00255,CUST0190,2023-06-11,Bug Report,Medium
TK00256,CUST0190,2023-07-29,Complaint,Medium
TK00257,CUST0192,2024-01-30,Feature Request,Low
TK00258,CUST0192,2024-03-16,Billing Question,Low
TK00259,CUST0193,2024-01-05,Bug Report,High
TK00260,CUST0193,2024-01-18,Billing Question,Medium
TK00261,CUST0194,2024-06-21,Bug Report,Low
TK00262,CUST0195,2023-03-17,Billing Question,Medium
TK00263,CUST0195,2023-03-09,Complaint,Medium
TK00264,CUST0195,2023-03-30,Feature Request,Low
TK00265,CUST0199,2023-12-02,Bug Report,Medium
TK00266,CUST0200,2023-08-25,Billing Question,Medium
TK00267,CUST0201,2024-05-30,Billing Question,High
TK00268,CUST0201,2024-05-02,Bug Report,High
TK00269,CUST0201,2024-05-10,Bug Report,Medium
TK00270,CUST0201,2024-05-11,Complaint,High
TK00271,CUST0201,2024-05-09,Billing Question,High
TK00272,CUST0201,2024-05-28,Bug Report,High
TK00273,CUST0201,2024-06-01,Bug Report,High
TK00274,CUST0201,2024-05-31,Bug Report,High
TK00275,CUST0201,2024-05-20,Bug Report,Low
TK00276,CUST0201,2024-06-05,Billing Question,Medium
TK00277,CUST0201,2024-05-11,Bug Report,Medium
TK00278,CUST0201,2024-06-14,Complaint,High
TK00279,CUST0202,2024-05-15,Complaint,Low
TK00280,CUST0202,2024-06-17,Bug Report,Low
TK00281,CUST0203,2024-03-23,Feature Request,Medium
TK00282,CUST0206,2024-06-04,Bug Report,Low
TK00283,CUST0207,2023-07-19,Feature Request,Low
TK00284,CUST0209,2023-12-16,Billing Question,High
TK00285,CUST0209,2023-12-19,Complaint,Low
TK00286,CUST0209,2024-05-30,Feature Request,Low
TK00287,CUST0209,2024-05-14,Billing Question,Low
TK00288,CUST0210,2023-11-05,Complaint,Medium
TK00289,CUST0210,2024-01-09,Billing Question,Low
TK00290,CUST0211,2024-06-25,Bug Report,Medium
TK00291,CUST0212,2023-12-20,Billing Question,Low
TK00292,CUST0213,2024-01-18,Bug Report,Medium
TK00293,CUST0213,2024-02-21,Billing Question,Low
TK00294,CUST0215,2023-01-07,Complaint,Low
TK00295,CUST0215,2023-01-13,Bug Report,Medium
TK00296,CUST0217,2024-04-26,Feature Request,High
TK00297,CUST0219,2024-04-09,Bug Report,Low
TK00298,CUST0219,2024-01-25,Bug Report,Low
TK00299,CUST0219,2023-06-28,Complaint,Medium
TK00300,CUST0219,2024-03-01,Bug Report,High
TK00301,CUST0220,2024-05-22,Feature Request,Low
TK00302,CUST0220,2024-04-14,Complaint,Low
TK00303,CUST0221,2024-02-18,Complaint,Medium
TK00304,CUST0221,2024-03-30,Complaint,Low
TK00305,CUST0222,2024-06-06,Complaint,Medium
TK00306,CUST0223,2023-08-22,Billing Question,Low
TK00307,CUST0224,2023-07-16,Billing Question,Low
TK00308,CUST0224,2023-07-16,Complaint,Medium
TK00309,CUST0224,2023-06-19,Bug Report,Medium
TK00310,CUST0225,2024-02-01,Billing Question,Medium
TK00311,CUST0226,2024-06-08,Complaint,Low
TK00312,CUST0226,2024-03-12,Complaint,Low
TK00313,CUST0226,2023-05-09,Feature Request,Low
TK00314,CUST0227,2024-04-21,Complaint,Low
TK00315,CUST0227,2024-05-30,Billing Question,Medium
TK00316,CUST0228,2023-12-12,Bug Report,High
TK00317,CUST0228,2023-12-13,Feature Request,Low
TK00318,CUST0229,2023-10-07,Complaint,Low
TK00319,CUST0229,2023-11-07,Feature Request,Low
TK00320,CUST0230,2024-03-02,Billing Question,Low
TK00321,CUST0230,2024-05-30,Billing Question,Low
TK00322,CUST0231,2024-03-30,Feature Request,Low
TK00323,CUST0231,2023-09-04,Complaint,Low
TK00324,CUST0232,2023-08-19,Billing Question,High
TK00325,CUST0233,2024-01-31,Bug Report,Low
TK00326,CUST0234,2023-11-08,Billing Question,Low
TK00327,CUST0234,2023-03-03,Bug Report,Medium
TK00328,CUST0235,2024-04-01,Billing Question,Medium
TK00329,CUST0235,2023-08-02,Complaint,Low
TK00330,CUST0236,2024-03-06,Billing Question,Low
TK00331,CUST0236,2024-06-19,Feature Request,Medium
TK00332,CUST0237,2023-11-21,Feature Request,High
TK00333,CUST0237,2024-01-23,Bug Report,Medium
TK00334,CUST0237,2023-12-09,Feature Request,High
TK00335,CUST0238,2024-01-28,Billing Question,Medium
TK00336,CUST0240,2023-09-13,Billing Question,Medium
TK00337,CUST0241,2024-01-27,Complaint,Low
TK00338,CUST0241,2023-03-08,Billing Question,Low
TK00339,CUST0242,2024-04-16,Bug Report,Low
TK00340,CUST0242,2024-05-27,Billing Question,Low
TK00341,CUST0242,2023-04-17,Complaint,Low
TK00342,CUST0243,2024-02-10,Billing Question,Medium
TK00343,CUST0243,2024-02-12,Feature Request,Medium
TK00344,CUST0244,2024-06-23,Feature Request,Low
TK00345,CUST0244,2024-06-27,Billing Question,Medium
TK00346,CUST0245,2024-06-03,Billing Question,Medium
TK00347,CUST0245,2024-05-04,Feature Request,High
TK00348,CUST0247,2023-10-16,Feature Request,Medium
TK00349,CUST0247,2023-09-15,Complaint,Medium
TK00350,CUST0248,2024-06-22,Feature Request,Low
TK00351,CUST0248,2024-04-30,Billing Question,High
TK00352,CUST0248,2024-04-27,Complaint,Medium
TK00353,CUST0251,2023-08-04,Complaint,Medium
TK00354,CUST0252,2023-09-21,Billing Question,Medium
TK00355,CUST0253,2023-10-26,Feature Request,Low
TK00356,CUST0255,2023-05-03,Billing Question,Low
TK00357,CUST0255,2023-05-06,Feature Request,Low
TK00358,CUST0258,2024-06-17,Bug Report,High
TK00359,CUST0259,2024-02-29,Complaint,Medium
TK00360,CUST0260,2024-05-27,Bug Report,Low
TK00361,CUST0260,2024-04-08,Feature Request,High
TK00362,CUST0260,2024-06-15,Billing Question,Medium
TK00363,CUST0261,2024-05-22,Bug Report,High
TK00364,CUST0261,2024-04-25,Billing Question,Low
TK00365,CUST0262,2024-04-11,Bug Report,Low
TK00366,CUST0262,2024-05-01,Feature Request,Low
TK00367,CUST0263,2024-02-06,Bug Report,Medium
TK00368,CUST0264,2024-06-29,Feature Request,Low
TK00369,CUST0266,2023-12-12,Feature Request,Low
TK00370,CUST0267,2024-03-01,Bug Report,Low
TK00371,CUST0267,2024-03-25,Bug Report,Medium
TK00372,CUST0268,2024-02-04,Bug Report,Low
TK00373,CUST0269,2024-06-28,Complaint,High
TK00374,CUST0270,2024-05-31,Complaint,Low
TK00375,CUST0270,2024-04-14,Complaint,Low
TK00376,CUST0271,2024-03-17,Complaint,Low
TK00377,CUST0271,2024-06-23,Complaint,Medium
TK00378,CUST0271,2024-03-08,Billing Question,Low
TK00379,CUST0272,2024-02-26,Bug Report,Medium
TK00380,CUST0273,2024-02-24,Bug Report,Low
TK00381,CUST0274,2023-12-22,Feature Request,Low
TK00382,CUST0274,2024-04-26,Bug Report,Low
TK00383,CUST0274,2024-05-03,Billing Question,Medium
TK00384,CUST0275,2023-09-03,Billing Question,Medium
TK00385,CUST0278,2024-01-15,Bug Report,Low
TK00386,CUST0278,2024-06-10,Complaint,Medium
TK00387,CUST0279,2024-01-16,Complaint,High
TK00388,CUST0280,2024-05-08,Billing Question,Medium
TK00389,CUST0280,2024-06-07,Complaint,Low
TK00390,CUST0281,2023-08-23,Bug Report,Low
TK00391,CUST0281,2023-08-17,Billing Question,Low
TK00392,CUST0281,2023-08-29,Feature Request,Medium
TK00393,CUST0282,2023-10-16,Feature Request,Low
TK00394,CUST0282,2023-05-22,Bug Report,Low
TK00395,CUST0282,2023-04-17,Complaint,Low
TK00396,CUST0282,2023-05-03,Feature Request,Low
TK00397,CUST0282,2023-07-31,Bug Report,Low
TK00398,CUST0284,2023-06-15,Complaint,High
TK00399,CUST0284,2023-10-01,Bug Report,Low
TK00400,CUST0284,2023-09-28,Bug Report,Medium
TK00401,CUST0284,2023-10-27,Bug Report,High
TK00402,CUST0284,2023-08-17,Bug Report,Medium
TK00403,CUST0284,2023-09-16,Billing Question,High
TK00404,CUST0285,2024-05-01,Bug Report,Medium
TK00405,CUST0287,2024-02-12,Complaint,Low
TK00406,CUST0287,2024-03-08,Complaint,Low
TK00407,CUST0287,2024-04-30,Complaint,Low
TK00408,CUST0288,2024-04-18,Complaint,Low
TK00409,CUST0289,2023-08-03,Billing Question,Medium
TK00410,CUST0290,2023-09-21,Bug Report,Low
TK00411,CUST0291,2024-03-05,Bug Report,Low
TK00412,CUST0291,2024-05-21,Feature Request,Medium
TK00413,CUST0292,2024-05-19,Complaint,High
TK00414,CUST0292,2024-04-28,Billing Question,Medium
TK00415,CUST0292,2023-09-18,Complaint,Medium
TK00416,CUST0292,2024-05-11,Complaint,High
TK00417,CUST0292,2023-10-22,Complaint,Medium
TK00418,CUST0292,2023-05-20,Billing Question,Low
TK00419,CUST0292,2023-04-19,Bug Report,Low
TK00420,CUST0293,2024-03-15,Bug Report,Low
TK00421,CUST0293,2024-01-26,Billing Question,Low
TK00422,CUST0294,2024-05-19,Complaint,Low
TK00423,CUST0294,2024-03-04,Billing Question,High
TK00424,CUST0295,2024-01-29,Billing Question,Low
TK00425,CUST0295,2023-10-25,Complaint,Low
TK00426,CUST0295,2024-06-06,Complaint,Low
TK00427,CUST0296,2024-05-31,Billing Question,Medium
TK00428,CUST0297,2024-03-11,Feature Request,Low
TK00429,CUST0299,2024-04-29,Bug Report,Low
TK00430,CUST0300,2024-01-18,Complaint,Medium
TK00431,CUST0301,2023-08-11,Feature Request,Low
TK00432,CUST0301,2023-05-17,Bug Report,Medium
TK00433,CUST0301,2023-05-27,Complaint,Low
TK00434,CUST0304,2024-02-09,Billing Question,Low
TK00435,CUST0306,2023-08-23,Bug Report,High
TK00436,CUST0306,2023-12-20,Bug Report,Medium
TK00437,CUST0307,2023-11-12,Feature Request,Medium
TK00438,CUST0307,2023-08-24,Feature Request,Low
TK00439,CUST0311,2024-03-11,Complaint,Medium
TK00440,CUST0313,2023-07-05,Complaint,Low
TK00441,CUST0314,2024-04-26,Feature Request,Low
TK00442,CUST0315,2024-06-04,Complaint,Low
TK00443,CUST0316,2024-02-15,Feature Request,Medium
TK00444,CUST0317,2023-04-02,Bug Report,Medium
TK00445,CUST0319,2023-05-23,Feature Request,Medium
TK00446,CUST0319,2024-04-07,Bug Report,Low
TK00447,CUST0319,2023-12-22,Feature Request,Low
TK00448,CUST0320,2023-09-05,Complaint,Medium
TK00449,CUST0322,2024-04-13,Bug Report,High
TK00450,CUST0322,2024-05-03,Billing Question,Low
TK00451,CUST0323,2023-05-13,Complaint,Medium
TK00452,CUST0324,2024-04-07,Feature Request,Low
TK00453,CUST0325,2024-04-29,Complaint,Medium
TK00454,CUST0326,2023-08-11,Bug Report,Low
TK00455,CUST0327,2023-10-21,Billing Question,High
TK00456,CUST0328,2024-01-18,Complaint,Medium
TK00457,CUST0330,2024-02-25,Feature Request,Medium
TK00458,CUST0330,2024-03-06,Billing Question,Low
TK00459,CUST0331,2024-05-22,Complaint,Low
TK00460,CUST0331,2024-04-01,Bug Report,Low
TK00461,CUST0331,2024-06-02,Billing Question,Medium
TK00462,CUST0332,2024-04-26,Bug Report,High
TK00463,CUST0332,2024-06-01,Complaint,High
TK00464,CUST0332,2024-04-03,Bug Report,High
TK00465,CUST0332,2024-05-30,Feature Request,High
TK00466,CUST0332,2024-04-29,Bug Report,Low
TK00467,CUST0333,2024-02-06,Feature Request,Low
TK00468,CUST0333,2024-02-21,Complaint,Low
TK00469,CUST0335,2023-08-13,Complaint,Medium
TK00470,CUST0335,2023-07-13,Feature Request,Low
TK00471,CUST0335,2024-05-10,Feature Request,Medium
TK00472,CUST0336,2023-11-03,Bug Report,Low
TK00473,CUST0336,2024-01-14,Complaint,Low
TK00474,CUST0337,2024-02-16,Billing Question,Medium
TK00475,CUST0339,2024-01-22,Billing Question,Medium
TK00476,CUST0339,2024-05-12,Feature Request,Medium
TK00477,CUST0341,2023-07-09,Bug Report,Medium
TK00478,CUST0342,2023-10-31,Bug Report,Low
TK00479,CUST0342,2024-03-01,Billing Question,Medium
TK00480,CUST0343,2024-05-07,Complaint,Low
TK00481,CUST0343,2024-05-25,Bug Report,High
TK00482,CUST0343,2024-06-14,Bug Report,High
TK00483,CUST0343,2024-05-31,Complaint,Medium
TK00484,CUST0343,2024-06-29,Billing Question,Medium
TK00485,CUST0344,2023-07-11,Feature Request,Low
TK00486,CUST0345,2023-11-17,Feature Request,Medium
TK00487,CUST0345,2024-03-30,Complaint,Medium
TK00488,CUST0346,2023-04-05,Bug Report,Low
TK00489,CUST0346,2023-11-07,Feature Request,Medium
TK00490,CUST0348,2023-03-04,Feature Request,Low
TK00491,CUST0348,2023-03-23,Bug Report,Low
TK00492,CUST0349,2024-02-05,Feature Request,High
TK00493,CUST0354,2023-08-22,Feature Request,Medium
TK00494,CUST0355,2023-07-24,Bug Report,High
TK00495,CUST0355,2023-09-02,Complaint,Medium
TK00496,CUST0355,2023-11-12,Bug Report,High
TK00497,CUST0355,2023-07-20,Complaint,High
TK00498,CUST0355,2024-02-06,Complaint,High
TK00499,CUST0356,2023-12-05,Feature Request,Medium
TK00500,CUST0356,2024-02-27,Bug Report,Medium
TK00501,CUST0357,2024-04-02,Feature Request,Low
TK00502,CUST0357,2024-01-04,Complaint,Low
TK00503,CUST0357,2024-02-14,Bug Report,Medium
TK00504,CUST0358,2023-10-04,Billing Question,Low
TK00505,CUST0359,2023-08-20,Billing Question,Medium
TK00506,CUST0360,2024-05-20,Complaint,High
TK00507,CUST0360,2023-12-24,Feature Request,Low
TK00508,CUST0362,2023-06-15,Billing Question,Medium
TK00509,CUST0363,2023-12-29,Billing Question,Low
TK00510,CUST0363,2023-12-20,Complaint,Low
TK00511,CUST0364,2024-02-23,Feature Request,Medium
TK00512,CUST0364,2024-03-05,Billing Question,High
TK00513,CUST0364,2024-02-01,Feature Request,Medium
TK00514,CUST0365,2023-07-20,Billing Question,Low
TK00515,CUST0366,2024-02-17,Feature Request,Low
TK00516,CUST0366,2024-01-13,Feature Request,Low
TK00517,CUST0366,2024-03-22,Feature Request,Low
